Iteration,Input Case Index,Compared Case Index,Similarity Score,Feedback Score,TF-IDF Weight,BERT Weight,Jaccard Weight,Topic Weight
1,10,100,0.2020060795521557,0,0.2777777777777778,0.2777777777777778,0.22222222222222227,0.22222222222222227
2,10,101,0.1926822534824178,2,0.30864197530864196,0.30864197530864196,0.19135802469135807,0.19135802469135807
3,10,103,0.3290822105183041,7,0.3177542621987066,0.3177542621987066,0.18224573780129338,0.18224573780129338
4,10,104,0.2070153379528339,3,0.35306029133189626,0.35306029133189626,0.1469397086681038,0.1469397086681038
5,10,20,0.1994593407372563,1,0.3922892125909958,0.3922892125909958,0.10771078740900421,0.10771078740900421
6,10,21,0.2021671728129002,4,0.43587690287888425,0.43587690287888425,0.06412309712111579,0.06412309712111579
7,10,23,0.3241420394102509,7,0.4389303836941755,0.4389303836941755,0.06106961630582456,0.06106961630582456
8,10,24,0.230626438357469,2,0.48770042632686156,0.48770042632686156,0.012299573673138395,0.012299573673138395
9,10,25,0.1963262021410756,1,0.5418893625854019,0.5418893625854019,-0.041889362585401796,-0.041889362585401796
10,10,26,0.2135378421096493,0,0.6020992917615575,0.6020992917615575,-0.10209929176155753,-0.10209929176155753
11,10,27,0.2572433722332892,2,0.6689992130683973,0.6689992130683973,-0.16899921306839727,-0.16899921306839727
12,10,28,0.1932165801114679,2,0.743332458964886,0.743332458964886,-0.24333245896488587,-0.24333245896488587
13,10,29,0.1998829884728312,3,0.8259249544054286,0.8259249544054286,-0.3259249544054286,-0.3259249544054286
14,100,101,0.2254677486728122,1,0.9176943937838096,0.9176943937838096,-0.4176943937838096,-0.4176943937838096
15,100,103,0.2060273771028312,0,1.0196604375375662,1.0196604375375662,-0.5196604375375663,-0.5196604375375663
16,100,104,0.266194153803892,1,1.1329560417084075,1.1329560417084075,-0.6329560417084074,-0.6329560417084074
17,100,20,0.2347262387027583,1,1.2588400463426745,1.2588400463426745,-0.7588400463426747,-0.7588400463426747
18,100,21,0.372066418589065,3,1.398711162602972,1.398711162602972,-0.8987111626029721,-0.8987111626029721
19,100,23,0.20623272386202,0,1.554123514003303,1.554123514003303,-1.054123514003303,-1.054123514003303
20,100,24,0.2915074098978834,2,1.7268039044481145,1.7268039044481145,-1.2268039044481145,-1.2268039044481145
21,100,25,0.252225779843631,1,1.91867100494235,1.91867100494235,-1.4186710049423499,-1.4186710049423499
22,100,26,0.2820621949869555,0,2.1318566721581655,2.1318566721581655,-1.6318566721581655,-1.6318566721581655
23,100,27,0.2121446589527724,0,2.368729635731295,2.368729635731295,-1.8687296357312948,-1.8687296357312948
24,100,28,0.2700994755954089,2,2.6319218174792174,2.6319218174792174,-2.1319218174792174,-2.1319218174792174
25,100,29,0.2558120129820151,3,2.924357574976907,2.924357574976907,-2.424357574976907,-2.424357574976907
26,101,104,0.2403593206888262,2,3.2492861944187843,3.2492861944187843,-2.7492861944187843,-2.7492861944187843
27,101,20,0.8178995983352172,7,3.1183678042083662,3.1183678042083662,-2.6183678042083662,-2.6183678042083662
28,101,21,0.2573084825830006,3,3.464853115787072,3.464853115787072,-2.964853115787072,-2.964853115787072
29,101,23,0.191216377234238,0,3.8498367953189674,3.8498367953189674,-3.3498367953189674,-3.3498367953189674
30,101,24,0.2452919928278404,2,4.277596439243298,4.277596439243298,-3.7775964392432972,-3.7775964392432972
31,101,25,0.3119820430262596,3,4.752884932492549,4.752884932492549,-4.252884932492549,-4.252884932492549
32,101,28,0.2261632593606737,2,5.280983258325052,5.280983258325052,-4.780983258325052,-4.780983258325052
33,101,29,0.2164745280241937,3,5.8677591759167225,5.8677591759167225,-5.3677591759167225,-5.3677591759167225
34,101,103,0.1961402365227567,1,6.519732417685245,6.519732417685245,-6.019732417685245,-6.019732417685245
35,103,10,0.3290822105183041,7,6.233078493033562,6.233078493033562,-5.733078493033562,-5.733078493033562
36,103,20,0.1960822502941021,2,6.925642770037289,6.925642770037289,-6.425642770037289,-6.425642770037289
37,103,21,0.2054781536854893,3,7.695158633374763,7.695158633374763,-7.195158633374763,-7.195158633374763
38,103,23,0.9387224544151688,8,7.041053303067974,7.041053303067974,-6.541053303067973,-6.541053303067973
39,103,24,0.2526065136960072,0,7.823392558964397,7.823392558964397,-7.323392558964397,-7.323392558964397
40,103,26,0.2073054401626783,1,8.692658398849336,8.692658398849336,-8.192658398849334,-8.192658398849334
41,103,27,0.3070380222486044,0,9.658509332054795,9.658509332054795,-9.158509332054795,-9.158509332054795
42,103,28,0.1899099540411796,2,10.731677035616455,10.731677035616455,-10.231677035616455,-10.231677035616455
